Epoch [1/20] | Data MSE: 43.6806 | Physics Loss: 6.132058
Epoch [2/20] | Data MSE: 6.3984 | Physics Loss: 1.408840
Epoch [3/20] | Data MSE: 3.6687 | Physics Loss: 0.374109
Epoch [4/20] | Data MSE: 1.9808 | Physics Loss: 0.272503
Epoch [5/20] | Data MSE: 1.1887 | Physics Loss: 0.253223
Epoch [6/20] | Data MSE: 0.9219 | Physics Loss: 0.270516
Epoch [7/20] | Data MSE: 0.9158 | Physics Loss: 0.234026
Epoch [8/20] | Data MSE: 0.7166 | Physics Loss: 0.190660
Epoch [9/20] | Data MSE: 0.8673 | Physics Loss: 0.172472
Epoch [10/20] | Data MSE: 0.9760 | Physics Loss: 0.224749
Epoch [11/20] | Data MSE: 0.7992 | Physics Loss: 0.154047
Epoch [12/20] | Data MSE: 0.8551 | Physics Loss: 0.145057
Epoch [13/20] | Data MSE: 0.7923 | Physics Loss: 0.167477
Epoch [14/20] | Data MSE: 0.7857 | Physics Loss: 0.214980
Epoch [15/20] | Data MSE: 0.7337 | Physics Loss: 0.123749
Epoch [16/20] | Data MSE: 0.8107 | Physics Loss: 0.157116
Epoch [17/20] | Data MSE: 0.6910 | Physics Loss: 0.126530
Epoch [18/20] | Data MSE: 0.8079 | Physics Loss: 0.176694
Epoch [19/20] | Data MSE: 0.8064 | Physics Loss: 0.153009
Epoch [20/20] | Data MSE: 0.6778 | Physics Loss: 0.143935
